object_id,longitude,latitude,neighborhoods,borough
1,-73.84720052,40.89470518,Wakefield,Bronx
2,-73.82993911,40.87429419,Co-op City,Bronx
3,-73.82780645,40.88755568,Eastchester,Bronx
4,-73.9056426,40.89543743,Fieldston,Bronx
5,-73.91258546,40.89083449,Riverdale,Bronx
6,-73.90281799,40.88168737,Kingsbridge,Bronx
7,-73.91065966,40.87655078,Marble Hill,Manhattan
8,-73.86731497,40.89827261,Woodlawn,Bronx
9,-73.87939074,40.87722416,Norwood,Bronx
10,-73.85744643,40.88103888,Williamsbridge,Bronx
11,-73.8357976,40.86685811,Baychester,Bronx
12,-73.85475564,40.8574135,Pelham Parkway,Bronx
13,-73.78648845,40.8472467,City Island,Bronx
14,-73.88551218,40.87018516,Bedford Park,Bronx
15,-73.91041596,40.85572708,University Heights,Bronx
16,-73.91967159,40.84789793,Morris Heights,Bronx
17,-73.89642656,40.8609968,Fordham,Bronx
18,-73.88735618,40.84269616,East Tremont,Bronx
19,-73.87774475,40.83947506,West Farms,Bronx
20,-73.92610209,40.83662301,High  Bridge,Bronx
21,-73.90942161,40.81975437,Melrose,Bronx
22,-73.91609987,40.80623875,Mott Haven,Bronx
23,-73.91322139,40.80166363,Port Morris,Bronx
24,-73.8957882,40.81509905,Longwood,Bronx
25,-73.88331506,40.80972988,Hunts Point,Bronx
26,-73.90150649,40.82359199,Morrisania,Bronx
27,-73.8657461,40.8210122,Soundview,Bronx
28,-73.85414416,40.80655112,Clason Point,Bronx
29,-73.81635002,40.81510926,Throgs Neck,Bronx
30,-73.82409927,40.84424594,Country Club,Bronx
31,-73.85600311,40.83793782,Parkchester,Bronx
32,-73.84219408,40.8406195,Westchester Square,Bronx
33,-73.86629918,40.84360847,Van Nest,Bronx
34,-73.85040178,40.84754906,Morris Park,Bronx
35,-73.88845196,40.8572771,Belmont,Bronx
36,-73.91719048,40.88139498,Spuyten Duyvil,Bronx
37,-73.90453055,40.90854283,North Riverdale,Bronx
38,-73.83207378,40.85064141,Pelham Bay,Bronx
39,-73.82620276,40.82657952,Schuylerville,Bronx
40,-73.81388514,40.82198612,Edgewater Park,Bronx
41,-73.8480273,40.81901438,Castle Hill,Bronx
42,-73.86332362,40.87137078,Olinville,Bronx
43,-73.84161195,40.86296562,Pelham Gardens,Bronx
44,-73.91558942,40.83428381,Concourse,Bronx
45,-73.85053524,40.8297743,Unionport,Bronx
46,-73.84808272,40.8845613,Edenwald,Bronx
47,-74.03062069,40.62580107,Bay Ridge,Brooklyn
48,-73.99517998,40.6110089,Bensonhurst,Brooklyn
49,-74.01031619,40.64510295,Sunset Park,Brooklyn
50,-73.95424093,40.73020098,Greenpoint,Brooklyn
51,-73.97347088,40.59526001,Gravesend,Brooklyn
52,-73.96509449,40.57682507,Brighton Beach,Brooklyn
53,-73.9431864,40.58689013,Sheepshead Bay,Brooklyn
54,-73.95743841,40.61443251,Manhattan Terrace,Brooklyn
55,-73.95840107,40.63632589,Flatbush,Brooklyn
56,-73.94329119,40.67082918,Crown Heights,Brooklyn
57,-73.93610256,40.64171777,East Flatbush,Brooklyn
58,-73.98042111,40.64238196,Kensington,Brooklyn
59,-73.9800734,40.65694584,Windsor Terrace,Brooklyn
60,-73.96485924,40.67682226,Prospect Heights,Brooklyn
61,-73.91023536,40.66394994,Brownsville,Brooklyn
62,-73.95811529,40.70714439,Williamsburg,Brooklyn
63,-73.92525797,40.69811611,Bushwick,Brooklyn
